precipitation,temp_max,temp_min,wind,month,year,day,day_of_week,weather_drizzle,weather_fog,weather_rain,weather_snow,weather_sun
0.0,12.8,5.0,4.7,1,2012,1,6,True,False,False,False,False
10.9,10.6,2.8,4.5,1,2012,2,0,False,False,True,False,False
0.8,11.7,7.2,2.3,1,2012,3,1,False,False,True,False,False
20.3,12.2,5.6,4.7,1,2012,4,2,False,False,True,False,False
1.3,8.9,2.8,6.1,1,2012,5,3,False,False,True,False,False
2.5,4.4,2.2,2.2,1,2012,6,4,False,False,True,False,False
0.0,7.2,2.8,2.3,1,2012,7,5,False,False,True,False,False
0.0,10.0,2.8,2.0,1,2012,8,6,False,False,False,False,True
4.3,9.4,5.0,3.4,1,2012,9,0,False,False,True,False,False
1.0,6.1,0.6,3.4,1,2012,10,1,False,False,True,False,False
0.0,6.1,-1.1,5.1,1,2012,11,2,False,False,False,False,True
0.0,6.1,-1.7,1.9,1,2012,12,3,False,False,False,False,True
0.0,5.0,-2.8,1.3,1,2012,13,4,False,False,False,False,True
4.1,4.4,0.6,5.3,1,2012,14,5,False,False,False,True,False
5.3,1.1,-3.3,3.2,1,2012,15,6,False,False,False,True,False
2.5,1.7,-2.8,5.0,1,2012,16,0,False,False,False,True,False
8.1,3.3,0.0,5.6,1,2012,17,1,False,False,False,True,False
19.8,0.0,-2.8,5.0,1,2012,18,2,False,False,False,True,False
15.2,-1.1,-2.8,1.6,1,2012,19,3,False,False,False,True,False
13.5,7.2,-1.1,2.3,1,2012,20,4,False,False,False,True,False
3.0,8.3,3.3,8.2,1,2012,21,5,False,False,True,False,False
6.1,6.7,2.2,4.8,1,2012,22,6,False,False,True,False,False
0.0,8.3,1.1,3.6,1,2012,23,0,False,False,True,False,False
8.6,10.0,2.2,5.1,1,2012,24,1,False,False,True,False,False
8.1,8.9,4.4,5.4,1,2012,25,2,False,False,True,False,False
4.8,8.9,1.1,4.8,1,2012,26,3,False,False,True,False,False
0.0,6.7,-2.2,1.4,1,2012,27,4,True,False,False,False,False
0.0,6.7,0.6,2.2,1,2012,28,5,False,False,True,False,False
27.7,9.4,3.9,4.5,1,2012,29,6,False,False,True,False,False
3.6,8.3,6.1,5.1,1,2012,30,0,False,False,True,False,False
1.8,9.4,6.1,3.9,1,2012,31,1,False,False,True,False,False
13.5,8.9,3.3,2.7,2,2012,1,2,False,False,True,False,False
0.0,8.3,1.7,2.6,2,2012,2,3,False,False,False,False,True
0.0,14.4,2.2,5.3,2,2012,3,4,False,False,False,False,True
0.0,15.6,5.0,4.3,2,2012,4,5,False,False,False,False,True
0.0,13.9,1.7,2.9,2,2012,5,6,False,False,False,False,True
0.0,16.1,1.7,5.0,2,2012,6,0,False,False,False,False,True
0.3,15.6,7.8,5.3,2,2012,7,1,False,False,True,False,False
2.8,10.0,5.0,2.7,2,2012,8,2,False,False,True,False,False
2.5,11.1,7.8,2.4,2,2012,9,3,False,False,True,False,False
2.5,12.8,6.7,3.0,2,2012,10,4,False,False,True,False,False
0.8,8.9,5.6,3.4,2,2012,11,5,False,False,True,False,False
1.0,8.3,5.0,1.3,2,2012,12,6,False,False,True,False,False
11.4,7.2,4.4,1.4,2,2012,13,0,False,False,True,False,False
2.5,6.7,1.1,3.1,2,2012,14,1,False,False,True,False,False
0.0,7.2,0.6,1.8,2,2012,15,2,True,False,False,False,False
1.8,7.2,3.3,2.1,2,2012,16,3,False,False,True,False,False
17.3,10.0,4.4,3.4,2,2012,17,4,False,False,True,False,False
6.4,6.7,3.9,8.1,2,2012,18,5,False,False,True,False,False
0.0,6.7,2.2,4.7,2,2012,19,6,False,False,False,False,True
3.0,7.8,1.7,2.9,2,2012,20,0,False,False,True,False,False
0.8,10.0,7.8,7.5,2,2012,21,1,False,False,True,False,False
8.6,10.0,2.8,5.9,2,2012,22,2,False,False,True,False,False
0.0,8.3,2.8,3.9,2,2012,23,3,False,False,False,False,True
11.4,6.7,4.4,3.5,2,2012,24,4,False,False,True,False,False
0.0,7.2,2.8,6.4,2,2012,25,5,False,False,True,False,False
1.3,5.0,-1.1,3.4,2,2012,26,6,False,False,False,True,False
0.0,6.7,-2.2,3.0,2,2012,27,0,False,False,False,False,True
3.6,6.7,-0.6,4.2,2,2012,28,1,False,False,False,True,False
0.8,5.0,1.1,7.0,2,2012,29,2,False,False,False,True,False
0.0,6.1,1.1,3.1,3,2012,1,3,False,False,False,False,True
2.0,6.7,3.9,5.1,3,2012,2,4,False,False,True,False,False
0.0,12.2,6.7,7.0,3,2012,3,5,False,False,False,False,True
0.0,10.6,6.7,5.6,3,2012,4,6,False,False,True,False,False
6.9,7.8,1.1,6.2,3,2012,5,0,False,False,True,False,False
0.5,6.7,0.0,2.7,3,2012,6,1,False,False,False,True,False
0.0,8.9,-1.7,2.7,3,2012,7,2,False,False,False,False,True
0.0,15.6,0.6,2.5,3,2012,8,3,False,False,False,False,True
3.6,9.4,5.0,2.8,3,2012,9,4,False,False,True,False,False
10.4,7.2,6.1,3.4,3,2012,10,5,False,False,True,False,False
13.7,6.7,2.8,5.8,3,2012,11,6,False,False,True,False,False
19.3,8.3,0.6,6.2,3,2012,12,0,False,False,False,True,False
9.4,5.6,0.6,5.3,3,2012,13,1,False,False,False,True,False
8.6,7.8,1.1,4.7,3,2012,14,2,False,False,True,False,False
23.9,11.1,5.6,5.8,3,2012,15,3,False,False,False,True,False
8.4,8.9,3.9,5.1,3,2012,16,4,False,False,True,False,False
9.4,10.0,0.6,3.8,3,2012,17,5,False,False,False,True,False
3.6,5.0,-0.6,2.7,3,2012,18,6,False,False,True,False,False
2.0,7.2,-1.1,3.0,3,2012,19,0,False,False,True,False,False
3.6,7.8,2.2,6.4,3,2012,20,1,False,False,True,False,False
1.3,8.9,1.1,2.5,3,2012,21,2,False,False,True,False,False
4.1,10.0,1.7,2.1,3,2012,22,3,False,False,True,False,False
0.0,12.2,0.6,2.8,3,2012,23,4,False,False,False,False,True
0.0,15.0,3.3,5.2,3,2012,24,5,False,False,False,False,True
0.0,13.3,2.2,2.7,3,2012,25,6,False,False,True,False,False
0.0,12.8,6.1,4.3,3,2012,26,0,True,False,False,False,False
4.8,14.4,6.7,3.8,3,2012,27,1,False,False,True,False,False
1.3,10.6,7.2,5.9,3,2012,28,2,False,False,True,False,False
27.4,10.0,6.1,4.4,3,2012,29,3,False,False,True,False,False
5.6,9.4,5.0,4.7,3,2012,30,4,False,False,True,False,False
13.2,10.0,2.8,3.4,3,2012,31,5,False,False,True,False,False
1.5,8.9,4.4,6.8,4,2012,1,6,False,False,True,False,False
0.0,16.7,4.4,3.1,4,2012,2,0,False,False,False,False,True
1.5,11.7,3.3,3.1,4,2012,3,1,False,False,True,False,False
0.0,10.6,2.8,2.1,4,2012,4,2,False,False,False,False,True
4.6,9.4,2.8,1.8,4,2012,5,3,False,False,False,True,False
0.3,11.1,3.3,2.6,4,2012,6,4,False,False,True,False,False
0.0,16.1,1.7,4.3,4,2012,7,5,False,False,False,False,True
0.0,21.1,7.2,4.1,4,2012,8,6,False,False,False,False,True
0.0,20.0,6.1,2.1,4,2012,9,0,False,False,False,False,True
0.0,17.8,8.9,3.2,4,2012,10,1,False,False,True,False,False
2.3,11.1,7.2,2.6,4,2012,11,2,False,False,True,False,False
0.5,13.9,5.6,2.6,4,2012,12,3,False,False,True,False,False
0.0,15.0,3.9,4.0,4,2012,13,4,True,False,False,False,False
0.0,15.6,3.3,3.0,4,2012,14,5,False,False,False,False,True
0.0,16.1,7.2,2.9,4,2012,15,6,False,False,True,False,False
8.1,13.3,6.7,5.8,4,2012,16,0,False,False,True,False,False
1.8,10.0,4.4,2.0,4,2012,17,1,False,False,True,False,False
1.8,13.3,7.2,3.9,4,2012,18,2,False,False,True,False,False
10.9,13.9,5.0,2.6,4,2012,19,3,False,False,True,False,False
6.6,13.3,6.7,2.7,4,2012,20,4,False,False,True,False,False
0.0,20.0,4.4,2.3,4,2012,21,5,False,False,False,False,True
0.0,23.3,8.3,2.6,4,2012,22,6,False,False,True,False,False
0.0,21.7,8.9,3.5,4,2012,23,0,False,False,False,False,True
4.3,13.9,10.0,2.8,4,2012,24,1,False,False,True,False,False
10.7,16.7,8.9,2.6,4,2012,25,2,False,False,True,False,False
3.8,13.9,6.7,5.2,4,2012,26,3,False,False,True,False,False
0.8,13.3,6.1,4.8,4,2012,27,4,False,False,True,False,False
0.0,16.1,8.3,2.5,4,2012,28,5,True,False,False,False,False
4.3,15.6,8.9,1.6,4,2012,29,6,False,False,True,False,False
4.3,12.8,7.2,8.0,4,2012,30,0,False,False,True,False,False
0.5,11.7,6.1,6.4,5,2012,1,1,False,False,True,False,False
0.5,13.3,5.6,2.5,5,2012,2,2,False,False,True,False,False
18.5,11.1,7.2,3.4,5,2012,3,3,False,False,True,False,False
1.8,12.2,6.1,4.6,5,2012,4,4,False,False,True,False,False
0.0,13.3,5.0,2.3,5,2012,5,5,False,False,False,False,True
0.0,17.8,5.0,2.4,5,2012,6,6,False,False,False,False,True
